Ang   sin(ang)      cos(ang) 
============================
 20   0.342020      0.939693 
 25   0.422618      0.906308 
 30   0.500000      0.866025 
 35   0.573576      0.819152 
 40   0.642788      0.766044 
 45   0.707107      0.707107 
 50   0.766044      0.642788 
 55   0.819152      0.573576 
 60   0.866025      0.500000 
 65   0.906308      0.422618 
 70   0.939693      0.342020 
 75   0.965926      0.258819 
 80   0.984808      0.173648 
 85   0.996195      0.087156 
 90   1.000000      0.000000 
 95   0.996195     -0.087156 
100   0.984808     -0.173648 
